"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow"
"1",100,0,0,0,14,12,2e-04,0,0,0
"2",100,0,0,0.00314970394174356,14,12,2e-04,0,0,0
"3",100,0.00254252426187614,0.0354469510080547,0.00629940788348712,14,12,2e-04,0.00249217890834123,0.0040149200739458,0.000969437742736657
"4",100,0.0288090658074905,0.165042356895255,0.00944911182523068,14,12,2e-04,0.0282386080837092,0.0353285490734349,0.0211486670939835
"5",100,0.0859862752489483,0.353824383068724,0.0125988157669742,14,12,2e-04,0.0842836329216086,0.0994833310104783,0.0690839348327389
"6",100,0.165968374511164,0.571327076962365,0.0157485197087178,14,12,2e-04,0.162681980506722,0.187225227087152,0.138138733926292
"7",100,0.261626788107601,0.807356362361905,0.0188982236504614,14,12,2e-04,0.256446230604578,0.291128896766807,0.22176356444235
"8",100,0.368742865261194,1.05720433330219,0.0220479275922049,14,12,2e-04,0.361441267320354,0.406856980463325,0.316025554177383
"9",100,0.482763891017549,1.31927961482816,0.0251976315339485,14,12,2e-04,0.473204525495808,0.529878550237324,0.416530500754293
"10",100,0.60298414591868,1.59217783516235,0.0283473354756920,14,12,2e-04,0.591044259854497,0.659441531371981,0.522646988337014
"11",100,0.726824655001563,1.87602049645077,0.0314970394174356,14,12,2e-04,0.712432562559173,0.793023235557095,0.63184188956125
"12",100,0.854016452052659,2.17050608562439,0.0346467433591792,14,12,2e-04,0.837105793284159,0.930347069974627,0.74386451659369
"13",100,0.983083413756564,2.47609132344158,0.0377964473009227,14,12,2e-04,0.96361705791406,1.06998576046182,0.8572483553663
"14",100,1.11340714014941,2.79307761175394,0.0409461512426663,14,12,2e-04,1.09136020162472,1.21134609990916,0.97137430334027
"15",100,1.24468217179444,3.1217822210981,0.0440958551844099,14,12,2e-04,1.22003581348148,1.35414230678857,1.08592932017439
"16",100,1.37653633105767,3.46264898490204,0.0472455591261534,14,12,2e-04,1.34927908546128,1.49802863941166,1.20052953151090
"17",100,1.50870055458573,3.81615717773256,0.050395263067897,14,12,2e-04,1.47882628202210,1.64276195106259,1.31489061298162
"18",100,1.64100180779167,4.18281148303869,0.0535449670096405,14,12,2e-04,1.60850779489138,1.78819431381763,1.42882127596513
"19",100,1.77328217322904,4.56316579218418,0.0566946709513841,14,12,2e-04,1.73816883359763,1.93419473144307,1.54214293575218
"20",100,1.90542776760060,4.95780664068153,0.0598443748931277,14,12,2e-04,1.86769776988396,2.08067677225734,1.65471876751058
"21",100,2.03734059040475,5.36736147231946,0.0629940788348712,14,12,2e-04,1.99699854378874,2.22757133022455,1.76642575735293
"22",100,2.16897711357749,5.79248266074665,0.0661437827766148,14,12,2e-04,2.12602848916137,2.37486376406457,1.87719321425817
"23",100,2.30025361118581,6.23388306639449,0.0692934867183583,14,12,2e-04,2.25470553795341,2.52250262900948,1.98690844689734
"24",100,2.43114085226483,6.69230065360141,0.0724431906601019,14,12,2e-04,2.38300103801184,2.67049097460824,2.09551110141545
"25",100,2.56155782538936,7.16853851797936,0.0755928946018455,14,12,2e-04,2.51083558204519,2.81878389320088,2.20288727088949
"26",100,2.69150743205571,7.66341689860464,0.078742598543589,14,12,2e-04,2.63821201409628,2.96741946491605,2.30900456327651
"27",100,2.82109475523419,8.17776925164547,0.0818923024853326,14,12,2e-04,2.7652333363532,3.11653649581157,2.41393017689482
"28",100,2.95012996274500,8.71258208007241,0.0850420064270761,14,12,2e-04,2.89171347556516,3.26599129113864,2.51743565999168
"29",100,3.0785179868072,9.268859810311,0.0881917103688197,14,12,2e-04,3.0175592464194,3.41573381404783,2.61938467879097
"30",100,3.20630238398158,9.84761263677446,0.0913414143105633,14,12,2e-04,3.14281334299903,3.56585015486860,2.71977653112946
"31",100,3.33342450156812,10.4499397903279,0.0944911182523068,14,12,2e-04,3.2674182740053,3.71633004340419,2.81850650460642
"32",100,3.46015944199682,11.0768896225150,0.0976408221940504,14,12,2e-04,3.39164369447513,3.86748817010376,2.91579921884649
"33",100,3.58628606794511,11.7297266919747,0.100790526135794,14,12,2e-04,3.5152728458983,4.01916209976112,3.01138359203548
"34",100,3.71211980335051,12.4096080140967,0.103940230077537,14,12,2e-04,3.6386149063999,4.17171071392895,3.10551909887086
"35",100,3.83751759870879,13.1178908735859,0.107089934019281,14,12,2e-04,3.76152965904568,4.32505210233223,3.19800721575912
"36",100,3.96235473562025,13.855985794486,0.110239637961025,14,12,2e-04,3.88389485502571,4.4791246098924,3.28866510015902
"37",100,4.08664802484476,14.6253218607544,0.113389341902768,14,12,2e-04,4.00572697222451,4.63400610552786,3.37744783892115
"38",100,4.21004490980096,15.4274921609722,0.116539045844512,14,12,2e-04,4.12668043514876,4.78941945014094,3.46394142015658
"39",100,4.33239535445065,16.2640896360380,0.119688749786255,14,12,2e-04,4.24660817867288,4.94528600865747,3.54793034868829
"40",100,4.45467420788988,17.1364656414675,0.122838453727999,14,12,2e-04,4.36646574858748,5.10261937881935,3.63031211835561
"41",100,4.57640659060488,18.0464174925725,0.125988157669742,14,12,2e-04,4.48578766862319,5.26103129398838,3.71054404325801
"42",100,4.69757703605219,18.9956790207741,0.129137861611486,14,12,2e-04,4.60455877849463,5.42058107634956,3.7885364806397
"43",100,4.8182258280072,19.9860236016289,0.132287565553230,14,12,2e-04,4.722818564305,5.58138439322579,3.86425273538422
"44",100,4.93810787517282,21.0193442510702,0.135437269494973,14,12,2e-04,4.84032678789004,5.74328232722106,3.93737124855901
"45",100,5.05723475633573,22.0975183967600,0.138586973436717,14,12,2e-04,4.95709479876109,5.9063668789692,4.00782271855299
"46",100,5.17520185970681,23.2225625014470,0.141736677378460,14,12,2e-04,5.07272599697927,6.07032807236631,4.07512392159222
"47",100,5.29215032022275,24.3964062183355,0.144886381320204,14,12,2e-04,5.18735872282226,6.2353871423337,4.13933030331083
"48",100,5.40812097621744,25.6210363681084,0.148036085261947,14,12,2e-04,5.30103300597077,6.40166946901396,4.20039654292758
"49",100,5.52343431795842,26.8984096765323,0.151185789203691,14,12,2e-04,5.41406299055984,6.56957325417729,4.2585527269424
"50",100,5.6378982306092,28.2306138440135,0.154335493145434,14,12,2e-04,5.52626036588164,6.73899987120037,4.3135208605629
"51",100,5.75164720060044,29.6196834540849,0.157485197087178,14,12,2e-04,5.63775695535707,6.91016854577743,4.3653453649367
"52",100,5.86436820210973,31.0677489525312,0.160634901028922,14,12,2e-04,5.74824593149027,7.08286397076642,4.41362789221413
"53",100,5.97630083397781,32.57683190402,0.163784604970665,14,12,2e-04,5.85796214874711,7.25740784363803,4.45851645385619
"54",100,6.08711480927153,34.1490505746275,0.166934308912409,14,12,2e-04,5.96658186031386,7.43356741471264,4.49959630591507
"55",100,6.19718204960883,35.7863750388755,0.170084012854152,14,12,2e-04,6.07446962326701,7.61179187214187,4.53714737439215
"56",100,6.30624428272194,37.4908598543194,0.173233716795896,14,12,2e-04,6.18137227947236,7.7919163181151,4.57082824082961
"57",100,6.41413103159977,39.2645016520473,0.176383420737639,14,12,2e-04,6.28712272758979,7.9738594231926,4.60038603198697
"58",100,6.5204319214053,41.1092835628023,0.179533124679383,14,12,2e-04,6.39131871874849,8.1573041304519,4.62533330704507
"59",100,6.62585724665171,43.0269452451750,0.182682828621127,14,12,2e-04,6.49465648268796,8.34302140242827,4.64629156294764
"60",100,6.73006396936718,45.0193209170703,0.18583253256287,14,12,2e-04,6.59679977404331,8.53075378866105,4.66284575942557
"61",100,6.83302949586441,47.0881088139734,0.188982236504614,14,12,2e-04,6.69772644651222,8.72055209617703,4.67490079684742
"62",100,6.93508659376243,49.2348575455381,0.192131940446357,14,12,2e-04,6.7977626784734,8.9128090290109,4.68271632793589
"63",100,7.03587310072352,51.4611049193978,0.195281644388101,14,12,2e-04,6.89655347888388,9.10723565773916,4.68587130002859
"64",100,7.13535496613162,53.7682176783463,0.198431348329844,14,12,2e-04,6.99406547137498,9.30385731895591,4.68427362379406
"65",100,7.2330656574859,56.1574837202186,0.201581052271588,14,12,2e-04,7.08984136140833,9.50227204403922,4.67741067877743
"66",100,7.32943372949054,58.629921115568,0.204730756213331,14,12,2e-04,7.1843012177364,9.70294363633363,4.66565879913919
"67",100,7.42434535823764,61.1864580948584,0.207880460155075,14,12,2e-04,7.2773334703157,9.90580040100907,4.64886653962233
"68",100,7.51774819267967,63.8278384415053,0.211030164096819,14,12,2e-04,7.36888680471887,10.1108229753179,4.62695063411981
"69",100,7.60983568121916,66.5545892125492,0.214179868038562,14,12,2e-04,7.45915083881343,10.3182236186083,4.60007805901858
"70",100,7.70016368424934,69.3671109348365,0.217329571980306,14,12,2e-04,7.54769022754606,10.5275841917838,4.56779626330828
"71",100,7.78904093253322,72.2655043344583,0.220479275922049,14,12,2e-04,7.63480758840108,10.7392116393518,4.5304035374504
"72",100,7.8762555797778,75.249704019038,0.223628979863793,14,12,2e-04,7.72029526992314,10.9528955007106,4.48769503913569
"73",100,7.96195105568158,78.319368848746,0.226778683805536,14,12,2e-04,7.8042938617124,11.1687617106694,4.43982601275541
"74",100,8.04591557671121,81.4739468613336,0.22992838774728,14,12,2e-04,7.88659577383049,11.3865789679236,4.38661257973742
"75",100,8.12841323494352,84.7125806099207,0.233078091689023,14,12,2e-04,7.96745986898071,11.6065693007062,4.32835043725526
"76",100,8.20906806671076,88.0342064058229,0.236227795630767,14,12,2e-04,8.04651762807474,11.8283184956589,4.26471676049053
"77",100,8.28769660754391,91.4374635233209,0.239377499572511,14,12,2e-04,8.12358921948344,12.0515882666734,4.19559017229351
