"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow"
"1",100,0,0,0,14,13.7,2e-04,0,0,0
"2",100,0.0033110308017166,0.0115045020403190,0.00314970394174356,14,13.7,2e-04,0.00324546799912041,0.00545566012242242,0.00103527587581841
"3",100,0.0130780695522660,0.0343703626783425,0.00629940788348712,14,13.7,2e-04,0.0128191064245446,0.0194221827333215,0.0062160301157677
"4",100,0.0212289734242345,0.0541529020791406,0.00944911182523068,14,13.7,2e-04,0.0208086115860990,0.0312122185575088,0.0104050046146892
"5",100,0.0269206379043727,0.0701162935730005,0.0125988157669742,14,13.7,2e-04,0.0263875735584377,0.0398579940274908,0.0129171530893846
"6",100,0.0301540031783433,0.0823933674800248,0.0157485197087178,14,13.7,2e-04,0.0295569139102997,0.0453859494633786,0.0137278783572209
"7",100,0.0311565976387044,0.091263893592407,0.0188982236504614,14,13.7,2e-04,0.0305396556702104,0.0480728559819569,0.0130064553584639
"8",100,0.0303456323614230,0.0971291557538912,0.0220479275922049,14,13.7,2e-04,0.0297447485813214,0.0484047561364394,0.0110847410262034
"9",100,0.0296195345802520,0.099605255750037,0.0251976315339485,14,13.7,2e-04,0.0290330284995265,0.0481687330199552,0.00989732397909786
"10",100,0.027402334485221,0.0994563889200434,0.0283473354756920,14,13.7,2e-04,0.0268597319079216,0.0459668368163097,0.00775262699953347
"11",100,0.0244657655776392,0.097052276820218,0.0314970394174356,14,13.7,2e-04,0.023981310960636,0.0426265488879112,0.00533607303336076
"12",100,0.0213676325647625,0.0926688886682123,0.0346467433591792,14,13.7,2e-04,0.0209445250916864,0.0387476466081005,0.00314140357527233
"13",100,0.0182813613954804,0.0865935557401119,0.0377964473009227,14,13.7,2e-04,0.0179193661860912,0.0345553226277314,0.00128340974445097
"14",100,0.0159615293019645,0.0784330745899152,0.0409461512426663,14,13.7,2e-04,0.0156454698457325,0.0307136721075474,0.000577267583917617
"15",100,0.0130248039312032,0.0685945445868393,0.0440958551844099,14,13.7,2e-04,0.0127668955334460,0.0259449645725051,0
"16",100,0.00961928141312436,0.0580022122622223,0.0472455591261534,14,13.7,2e-04,0.00942880687930883,0.0205719256537482,0
